ticker,volatility,momentum_12_1,max_drawdown,skewness,kurtosis,pe_ratio,roe,market_cap,beta
A,0.2930222525308763,-0.035362227727140594,-0.3604111097216195,0.03173874446028109,2.8471042200546774,26.892778,0.20618999,34842013696,1.298
AAPL,0.26777864380594946,0.1897555473504965,-0.29620271326905456,0.022922586524622184,2.4827277002232497,33.4488,1.5202099,3888777003008,1.107
ABBV,0.22667638016728922,0.17300294319433726,-0.21915448657977332,-1.7338723096693862,14.28900173681346,95.25848,11.066669,397325729792,0.334
ABNB,0.4518882377094167,-0.055078878444352206,-0.5340074800992274,-0.5240627564152935,3.3499738831485395,31.73449,0.30233,76671844352,1.139
ABT,0.21345516343058632,0.08059612159787277,-0.2474739999231325,0.08429680162863229,2.9540918552280537,30.083109,0.13158,195296903168,0.751
ACGL,0.2552956022123492,0.3310328736340807,-0.18778766908608277,-0.13736044504406453,3.04711636735044,8.490517,0.19540001,35715031040,0.381
ACN,0.26582730594387327,0.02106860991797757,-0.2745344115962975,-0.1327976498711454,3.818139991327005,17.79752,0.25016,133546909696,1.236
ADBE,0.3775701748037238,-0.20227811872452606,-0.4129817759002984,-1.2323129199403138,10.953487148106484,15.476361,0.55426,108254142464,1.515
ADI,0.3077980314266502,0.058849565071311186,-0.23626636398537534,0.14754129737802185,2.062904430037044,78.20044,0.07862,173841891328,1.031
ADM,0.3067952839523535,-0.3162703158940015,-0.4640504088231558,-4.641944438477399,60.51052074382381,30.43946,0.04721,32621072384,0.682
ADP,0.2157501104424035,0.2816678795339283,-0.21751775413607746,-0.44395601373640686,6.065832668551183,20.622116,0.73843,86742122496,0.847
ADSK,0.3548636109606502,0.14562277448791439,-0.2565158481511597,-0.07778382743892721,5.134860535541186,44.073784,0.40333998,48346738688,1.453
AEE,0.20785965790926936,0.2789775400258405,-0.2746401800576747,-0.4544006287724021,2.952629211422895,21.12284,0.11337,30417821696,0.586
AEP,0.2123615365018045,0.23038868175979582,-0.29560463738961595,-0.24003297857132808,1.3070487503994332,19.424925,0.12486,69971247104,0.623
AES,0.3635857926183421,-0.41967623618240335,-0.5656045339614427,-0.25991062726106273,2.491214108751133,10.861842,0.05106,11757117440,0.97
AFL,0.21261901789569138,0.32459570790874787,-0.19858822322408087,-0.6044514975687164,7.153196603248594,16.71994,0.13118,59764711424,0.662
AIG,0.25936080691348995,0.1225018414659095,-0.26449637648240987,-0.16171087529718597,2.54405175997025,14.813997,0.07399,43403501568,0.598
AIZ,0.2594242478371735,0.29366236407342694,-0.4463481473361753,-0.35077359300896277,10.405478422915621,13.24144,0.15899,11318505472,0.575
AJG,0.20908645468623394,0.321815497227745,-0.18802550119970327,-0.6059762245673279,3.1931593751508025,37.719513,0.06906,55637872640,0.658
AKAM,0.2842031696322169,-0.27637555364918087,-0.41970143485434347,-1.506171346964049,16.583123708978448,27.615835,0.091730006,13547788288,0.723
ALGN,0.5190086475303634,-0.22794155908369534,-0.608924530366942,-0.7680078383421786,15.430740577008962,33.69149,0.103870004,13773859840,1.831
ALL,0.2628686889762039,0.39350266946936574,-0.2734533201584006,-1.020896733047861,8.12555490119765,5.423653,0.39518002,54003253248,0.235
ALLE,0.26432923340687753,0.09796897861674084,-0.24716090418862421,0.005942937005796678,2.6076833755171656,21.94046,0.36084,13949220864,1.038
AMAT,0.42061483042079817,-0.00514785349790714,-0.4493174001425676,-0.2456729875411244,1.5291661324925432,38.461063,0.38863,297947168768,1.677
AMCR,0.24039299946659612,0.1252031773644348,-0.33719111947751623,0.0289231953087309,6.762321253856911,37.962406,0.07734,23328688128,0.668
AMD,0.5116216083226887,-0.18260859657650458,-0.5307834419230427,-0.07962475525133336,1.9302422915420756,76.98077,0.07082,326326714368,1.949
AME,0.2160040912309306,0.14648870380343465,-0.20745799744824142,-0.30137329506434785,5.209080943785903,36.485935,0.14594,53930057728,1.036
AMGN,0.22644271684445438,-0.01977414610296077,-0.24859944997088892,0.34861947489537143,8.059291811433836,26.316713,1.0610299,202015604736,0.472
AMP,0.26941736592202187,0.40621483312383133,-0.2783160963022715,-0.041247401261390974,3.3331056822503786,14.367651,0.60508,43822694400,1.251
AMT,0.2786443964944351,-0.03571436099766781,-0.42271651039451147,0.14079895692758138,2.3845928099763753,29.874002,0.28839,87708139520,0.944
AMZN,0.3736024754410914,0.2770343088053908,-0.5139786015389085,-0.33294546466345637,4.29180888257855,29.344973,0.22286,2255514238976,1.385
ANET,0.4296463244427115,0.46648586858623053,-0.3665849515310313,0.17735855474868628,6.244265291220916,48.28727,0.314,167220461568,1.444
